<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<BODY BGCOLOR="white">
<H2>72357 OUN Norman Observations at 00Z 04 Jul 2011</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     68                                                               
  970.0    345   37.6   12.6     22   9.53    160      9  313.5  343.4  315.3
  969.0    354   37.6   12.6     22   9.54    160      9  313.6  343.6  315.4
  941.8    610   34.9   10.5     23   8.54    150     11  313.4  340.3  315.0
  925.0    772   33.2    9.2     23   7.95    160     14  313.2  338.4  314.8
  910.4    914   31.9    9.0     24   7.98    170     13  313.3  338.5  314.8
  879.8   1219   29.1    8.6     28   8.03    175     11  313.5  338.8  315.0
  850.0   1526   26.2    8.2     32   8.09    170     12  313.6  339.1  315.1
  821.1   1829   23.1    8.0     38   8.26    185     11  313.4  339.5  315.0
  820.0   1841   23.0    8.0     38   8.27    185     11  313.4  339.5  315.0
  792.3   2134   20.2    7.7     44   8.39    195     12  313.5  339.9  315.1
  764.6   2438   17.3    7.4     52   8.51    185     12  313.6  340.4  315.2
  737.8   2743   14.4    7.1     62   8.63    215     11  313.6  340.8  315.2
  715.0   3012   11.8    6.8     71   8.74    227     10  313.6  341.1  315.3
  702.0   3165   10.4    6.2     75   8.54    234     10  313.7  340.6  315.3
  700.0   3189   10.4    5.4     71   8.10    235     10  314.0  339.5  315.5
  677.0   3466    8.2    2.2     66   6.67    244     11  314.5  335.8  315.8
  670.0   3552    8.4   -0.6     53   5.50    247     11  315.7  333.4  316.7
  661.5   3658    7.6   -1.4     53   5.26    250     11  316.0  333.0  317.0
  659.0   3689    7.4   -1.6     53   5.19    254     11  316.1  332.9  317.0
  647.0   3840    6.8   -5.2     42   4.03    272      9  317.0  330.3  317.8
  614.0   4267    3.2   -7.8     44   3.48    325      4  317.7  329.2  318.3
  604.0   4400    2.6  -11.4     35   2.66    326      5  318.5  327.5  319.0
  593.0   4548    1.2   -8.8     47   3.33    327      6  318.5  329.7  319.2
  586.0   4644    0.6  -14.4     32   2.15    328      7  318.9  326.3  319.3
  574.0   4809   -0.5  -12.5     40   2.56    329      8  319.5  328.2  320.0
  569.1   4877   -0.6  -18.7     24   1.55    330      9  320.1  325.6  320.4
  566.0   4921   -0.7  -22.7     17   1.10    333      9  320.6  324.5  320.8
  558.0   5035   -1.7  -18.7     26   1.57    341      9  320.7  326.2  321.0
  544.0   5236   -3.3  -21.3     23   1.29    356      8  321.1  325.7  321.4
  541.0   5280   -3.3  -20.3     26   1.42    359      8  321.6  326.6  321.9
  535.0   5368   -3.5  -26.5     15   0.82      6      8  322.4  325.4  322.6
  532.0   5412   -4.1  -24.1     19   1.03      9      7  322.2  325.9  322.4
  526.0   5502   -3.5  -21.5     23   1.31     16      7  324.0  328.7  324.2
  500.0   5900   -6.3  -21.3     29   1.40     45      6  325.3  330.3  325.6
  496.0   5963   -6.7  -21.7     29   1.37     32      7  325.6  330.5  325.8
  494.0   5994   -5.9  -24.9     21   1.03     26      8  326.9  330.7  327.1
  487.6   6096   -6.2  -27.3     17   0.84      5     10  327.8  330.9  327.9
  485.0   6138   -6.3  -28.3     16   0.77      4     10  328.1  331.0  328.3
  458.0   6582   -8.9  -35.9      9   0.39    354      8  330.3  331.9  330.4
  433.0   7012  -12.9  -36.9     11   0.38    344      6  330.6  332.0  330.6
  412.0   7388  -15.5  -30.5     26   0.74    335      4  331.9  334.8  332.1
  400.0   7610  -17.3  -35.3     19   0.48    330      3  332.4  334.3  332.5
  399.5   7620  -17.4  -35.6     19   0.46    330      3  332.5  334.3  332.6
  392.0   7762  -18.3  -39.3     14   0.32    329      4  333.0  334.3  333.1
  385.0   7897  -19.3  -36.3     21   0.45    328      4  333.4  335.2  333.5
  381.0   7975  -19.3  -31.3     34   0.74    328      5  334.4  337.3  334.6
  365.0   8294  -21.3  -35.3     27   0.52    326      6  335.9  337.9  336.0
  326.0   9118  -29.1  -39.1     37   0.40    320     11  336.2  337.8  336.2
  324.8   9144  -29.2  -39.5     36   0.38    320     11  336.4  337.9  336.4
  318.0   9296  -29.9  -41.9     30   0.30    328     11  337.5  338.7  337.5
  300.0   9710  -33.5  -45.5     29   0.22    350     11  338.0  339.0  338.1
  288.0   9993  -35.9  -47.9     28   0.17     29     11  338.6  339.3  338.6
  272.9  10363  -37.6  -51.0     23   0.13     80     11  341.4  341.9  341.4
  267.0  10514  -38.3  -52.3     22   0.11     82     12  342.5  343.0  342.5
  261.0  10668  -39.5  -53.9     20   0.10     85     13  342.9  343.3  342.9
  250.0  10960  -41.9  -56.9     18   0.07     85     12  343.6  343.9  343.6
  228.0  11575  -47.5  -61.5     18   0.04     90     17  344.3  344.4  344.3
  227.8  11582  -47.5  -61.5     19   0.04     90     17  344.3  344.5  344.3
  216.0  11931  -49.3  -62.3     20   0.04     42     23  346.8  347.0  346.8
  207.5  12192  -51.4  -63.9     21   0.03      5     28  347.6  347.7  347.6
  200.0  12430  -53.3  -65.3     22   0.03      5     32  348.2  348.3  348.2
  190.0  12759  -55.9  -66.9     24   0.02     20     39  349.2  349.3  349.2
  187.0  12860  -56.1  -67.1     24   0.02     24     41  350.4  350.6  350.4
  183.0  12998  -54.1  -66.1     22   0.03     30     44  355.9  356.0  355.9
  179.9  13106  -54.3  -66.3     21   0.03     35     46  357.2  357.4  357.2
  174.0  13322  -54.7  -66.7     21   0.03     36     45  360.0  360.2  360.0
  157.0  13974  -58.7  -69.7     23   0.02     39     40  364.0  364.1  364.0
  150.0  14260  -59.7  -70.7     23   0.02     40     38  367.0  367.1  367.0
  128.1  15240  -64.1  -74.1     24   0.01     40     34  376.1  376.2  376.1
  128.0  15243  -64.1  -74.1     24   0.01     40     34  376.1  376.2  376.1
  121.8  15545  -66.2  -75.7     26   0.01     45     36  377.7  377.7  377.7
  117.0  15789  -67.9  -76.9     27   0.01     42     32  378.9  378.9  378.9
  106.0  16383  -68.7  -77.7     26   0.01     34     21  388.2  388.3  388.2
  100.0  16730  -71.7  -80.7     25   0.01     30     14  388.9  389.0  388.9
   95.5  17000  -72.5  -80.5     29   0.01     30     24  392.5  392.6  392.5
   94.4  17069  -72.3  -80.4     29   0.01     55     28  394.3  394.3  394.3
   89.6  17374  -71.3  -79.8     28   0.01     60     14  402.1  402.1  402.1
   85.1  17678  -70.3  -79.2     26   0.01     30      8  410.0  410.1  410.0
   83.2  17814  -69.9  -78.9     26   0.01     29     11  413.6  413.6  413.6
   76.9  18288  -65.7  -75.4     25   0.02     25     22  431.7  431.9  431.7
   74.1  18512  -63.7  -73.7     24   0.02     55     25  440.5  440.7  440.6
   73.1  18593  -63.9  -73.9     24   0.02     65     26  441.7  441.9  441.7
   70.0  18860  -64.7  -74.7     24   0.02     75     29  445.6  445.8  445.6
   69.6  18898  -64.6  -74.6     24   0.02     75     29  446.6  446.7  446.6
   67.3  19100  -64.3  -74.3     24   0.02     92     23  451.5  451.7  451.5
   63.0  19507  -66.7  -76.7     23   0.02    125     11  455.0  455.1  455.0
   63.0  19502  -66.7  -76.7     23   0.02    125     11  454.8  455.0  454.9
   59.9  19812  -64.1  -74.6     23   0.03     25     10  467.2  467.4  467.2
   56.2  20203  -60.9  -71.9     22   0.04     64     24  483.1  483.4  483.1
   54.2  20422  -61.5  -72.5     22   0.04     85     32  486.6  486.9  486.6
   53.7  20485  -61.7  -72.7     22   0.04     83     30  487.6  487.9  487.6
   51.7  20726  -60.5  -72.0     21   0.04     75     23  495.8  496.1  495.8
   50.0  20930  -59.5  -71.5     20   0.05     90     23  502.8  503.2  502.9
   49.7  20968  -59.3  -71.3     20   0.05     99     21  504.2  504.5  504.2
   49.2  21031  -59.4  -71.4     20   0.05    115     18  505.4  505.7  505.4
   46.9  21336  -59.9  -71.9     19   0.05     85     18  511.2  511.6  511.3
   46.1  21437  -60.1  -72.1     19   0.05     78     19  513.2  513.5  513.2
   44.6  21641  -58.8  -71.3     18   0.06     65     22  521.1  521.5  521.1
   43.1  21858  -57.5  -70.5     18   0.07     76     25  529.5  530.0  529.6
   42.5  21946  -57.7  -70.7     18   0.07     80     26  531.2  531.7  531.2
   40.6  22234  -58.3  -71.3     17   0.06     75     25  536.7  537.1  536.7
   38.6  22555  -56.3  -70.4     15   0.07     70     23  549.6  550.2  549.6
